# Thet  eta  binding
241.00 20.00 0.37
241.32 20.00 0.37
241.65 20.00 0.37
241.97 20.00 0.38
242.29 20.00 0.38
242.62 20.00 0.38
242.94 20.00 0.38
243.26 20.00 0.39
243.59 20.00 0.39
243.91 20.00 0.39
244.23 20.00 0.39
244.56 20.00 0.40
244.88 20.00 0.40
245.20 20.00 0.40
245.53 20.00 0.40
245.85 20.00 0.41
246.17 20.00 0.41
246.49 20.00 0.41
246.82 20.00 0.42
247.14 20.00 0.42
247.46 20.00 0.42
247.79 20.00 0.42
248.11 20.00 0.43
248.43 20.00 0.43
248.76 20.00 0.43
249.08 20.00 0.44
249.40 20.00 0.44
249.73 20.00 0.44
250.05 20.00 0.44
250.37 20.00 0.45
250.70 20.00 0.45
251.02 20.00 0.45
251.34 20.00 0.46
251.67 20.00 0.46
251.99 20.00 0.46
252.31 20.00 0.46
252.64 20.00 0.47
252.96 20.00 0.47
253.28 20.00 0.47
253.61 20.00 0.47
253.93 20.00 0.47
254.25 20.00 0.48
254.58 20.00 0.48
254.90 20.00 0.48
255.22 20.00 0.48
255.55 20.00 0.48
255.87 20.00 0.49
256.19 20.00 0.49
256.52 20.00 0.49
256.84 20.00 0.49
257.16 20.00 0.50
257.48 20.00 0.50
257.81 20.00 0.50
258.13 20.00 0.50
258.45 20.00 0.50
258.78 20.00 0.51
259.10 20.00 0.51
259.42 20.00 0.51
259.75 20.00 0.51
260.07 20.00 0.51
260.39 20.00 0.52
260.72 20.00 0.52
261.04 20.00 0.52
261.36 20.00 0.52
261.69 20.00 0.53
262.01 20.00 0.53
262.33 20.00 0.53
262.66 20.00 0.53
262.98 20.00 0.53
263.30 20.00 0.54
263.63 20.00 0.54
263.95 20.00 0.54
264.27 20.00 0.54
264.60 20.00 0.54
264.92 20.00 0.55
265.24 20.00 0.55
265.57 20.00 0.55
265.89 20.00 0.55
266.21 20.00 0.55
266.54 20.00 0.56
266.86 20.00 0.56
267.18 20.00 0.56
267.51 20.00 0.56
267.83 20.00 0.56
268.15 20.00 0.56
268.47 20.00 0.56
268.80 20.00 0.57
269.12 20.00 0.57
269.44 20.00 0.57
269.77 20.00 0.57
270.09 20.00 0.57
270.41 20.00 0.57
270.74 20.00 0.57
271.06 20.00 0.57
271.38 20.00 0.57
271.71 20.00 0.57
272.03 20.00 0.57
272.35 20.00 0.57
272.68 20.00 0.57
273.00 20.00 0.57
241.00 21.62 0.37
241.32 21.62 0.37
241.65 21.62 0.37
241.97 21.62 0.38
242.29 21.62 0.38
242.62 21.62 0.38
242.94 21.62 0.38
243.26 21.62 0.39
243.59 21.62 0.39
243.91 21.62 0.39
244.23 21.62 0.39
244.56 21.62 0.40
244.88 21.62 0.40
245.20 21.62 0.40
245.53 21.62 0.40
245.85 21.62 0.41
246.17 21.62 0.41
246.49 21.62 0.41
246.82 21.62 0.42
247.14 21.62 0.42
247.46 21.62 0.42
247.79 21.62 0.42
248.11 21.62 0.43
248.43 21.62 0.43
248.76 21.62 0.43
249.08 21.62 0.44
249.40 21.62 0.44
249.73 21.62 0.44
250.05 21.62 0.44
250.37 21.62 0.45
250.70 21.62 0.45
251.02 21.62 0.45
251.34 21.62 0.46
251.67 21.62 0.46
251.99 21.62 0.46
252.31 21.62 0.46
252.64 21.62 0.47
252.96 21.62 0.47
253.28 21.62 0.47
253.61 21.62 0.47
253.93 21.62 0.48
254.25 21.62 0.48
254.58 21.62 0.48
254.90 21.62 0.48
255.22 21.62 0.48
255.55 21.62 0.49
255.87 21.62 0.49
256.19 21.62 0.49
256.52 21.62 0.49
256.84 21.62 0.49
257.16 21.62 0.50
257.48 21.62 0.50
257.81 21.62 0.50
258.13 21.62 0.50
258.45 21.62 0.51
258.78 21.62 0.51
259.10 21.62 0.51
259.42 21.62 0.51
259.75 21.62 0.51
260.07 21.62 0.52
260.39 21.62 0.52
260.72 21.62 0.52
261.04 21.62 0.52
261.36 21.62 0.53
261.69 21.62 0.53
262.01 21.62 0.53
262.33 21.62 0.53
262.66 21.62 0.54
262.98 21.62 0.54
263.30 21.62 0.54
263.63 21.62 0.54
263.95 21.62 0.54
264.27 21.62 0.55
264.60 21.62 0.55
264.92 21.62 0.55
265.24 21.62 0.55
265.57 21.62 0.55
265.89 21.62 0.56
266.21 21.62 0.56
266.54 21.62 0.56
266.86 21.62 0.56
267.18 21.62 0.56
267.51 21.62 0.56
267.83 21.62 0.57
268.15 21.62 0.57
268.47 21.62 0.57
268.80 21.62 0.57
269.12 21.62 0.57
269.44 21.62 0.57
269.77 21.62 0.57
270.09 21.62 0.57
270.41 21.62 0.57
270.74 21.62 0.57
271.06 21.62 0.57
271.38 21.62 0.57
271.71 21.62 0.57
272.03 21.62 0.57
272.35 21.62 0.57
272.68 21.62 0.57
273.00 21.62 0.57
241.00 23.23 0.37
241.32 23.23 0.37
241.65 23.23 0.37
241.97 23.23 0.38
242.29 23.23 0.38
242.62 23.23 0.38
242.94 23.23 0.38
243.26 23.23 0.39
243.59 23.23 0.39
243.91 23.23 0.39
244.23 23.23 0.39
244.56 23.23 0.40
244.88 23.23 0.40
245.20 23.23 0.40
245.53 23.23 0.40
245.85 23.23 0.41
246.17 23.23 0.41
246.49 23.23 0.41
246.82 23.23 0.42
247.14 23.23 0.42
247.46 23.23 0.42
247.79 23.23 0.42
248.11 23.23 0.43
