# eta  J
30.078172 89442071746363383253634646016.000000
34.774197 70830492950658654391647533531136.000000
42.897451 430884858936017951170353736712192.000000
45.019478 549652371036983453233512712241152.000000
48.034004 405442728072653001274977163411456.000000
54.959978 90353948588917354398639953281024.000000
60.169086 296050390840646471312954359808.000000
64.873433 122491436239430499766897075027968.000000
69.997764 299068673963628935185742182744064.000000
74.959042 244154761463526281540622134280192.000000
79.942684 34821720097215835556680457781248.000000
89.894627 2344466615324226613791793610752.000000
100.042389 36633351408026585354752491520.000000
109.918396 922056872654039731631225307136.000000
120.041972 95054694039230567029663596544.000000
135.102903 51719746513053079857639981056.000000
150.153431 63352260323230977307728412672.000000
