# eta  J
35.270549 30877701920960946176.000000
40.244749 8405357950256922222395392.000000
45.208958 3550551840163459974037504.000000
50.320922 177223255499536162881536.000000
55.245695 4506570337745468653568.000000
60.145230 18971711373202636800.000000
65.345004 156238112001217724957065216.000000
70.359692 2408001786190150021010161664.000000
80.431132 36238615548094092148736000.000000
90.294351 62072524458536334262272.000000
100.192798 1308771729499056242688.000000
109.990290 6554929835645084893184.000000
120.086970 595865071988905082880.000000
135.127352 5307036456446694400.000000
150.064149 9309683385501698048.000000
